subprograma,nome,previstos,digitalizados,inicio,fim,diferenca,media dia,esperado hoje,% digitalizados,cor
2026,MG BELO HORIZONTE - 3ª AV. SOMATIVA 2025 (SIMULADO),68392.0,67981.0,2026-01-06,2026-01-21,15.0,4559.0,68392.0,99.4,green
2067,ES ESPÍRITO SANTO - AV. SOMATIVA EF 2025 (PAEBES ALFA),,,2025-12-15,2026-01-02,18.0,,,,green
2068,ES ESPÍRITO SANTO - AV. SOMATIVA EF EM 2025 (PAEBES),,,2025-12-15,2026-01-02,18.0,,,,green
2069,GO GOIÁS - AV. SOMATIVA EF 2025 (SAEGO ALFA),616926.0,607851.0,2025-12-09,2026-01-02,24.0,25705.0,616926.0,98.53,green
2071,PB PARAÍBA - AV. SOMATIVA EF EM 2025 (SIAVE),478859.0,476353.0,2025-12-23,2026-01-12,20.0,23943.0,478859.0,99.48,green
2072,TO TOCANTINS - AV. SOMATIVA 2025 (ADET),,,2025-12-15,2026-01-05,21.0,,,,green
2073,MG MINAS GERAIS - AV. SOMATIVA EF EM 2025,1541129.0,1537231.0,2025-12-03,2025-12-15,12.0,128427.0,1541129.0,99.75,green
2074,CE CEARÁ - AV. SOMATIVA EF 2025 (SPAECE EF),1756112.0,1745575.0,2025-12-19,2026-01-14,26.0,67543.0,1756112.0,99.4,green
2075,CE CEARÁ - AV. SOMATIVA EM 2025 (SPAECE EM),580351.0,578336.0,2025-11-05,2025-11-07,2.0,290176.0,580351.0,99.65,green
2078,MG MINAS GERAIS - AV. SOMATIVA EF 2025 (ALFA),1558056.0,1545977.0,2025-12-09,2026-01-08,30.0,51935.0,1558056.0,99.22,green
2081,AL ALAGOAS - AV. SOMATIVA 2025 (SAVEAL),248702.0,246784.0,2025-12-09,2025-12-22,13.0,19131.0,248702.0,99.23,green
2085,MT MATO GROSSO - AV. SOMATIVA 2025 EF EM (AVALIA MT),738040.0,729547.0,2025-11-21,2025-11-24,3.0,246013.0,738040.0,98.85,green
2087,MG BELO HORIZONTE - 5ª AV. FORMATIVA 2025 (NOVEMBRO),188553.0,185552.0,2025-11-07,2025-11-12,5.0,37711.0,188553.0,98.41,green
2089,PE PERNAMBUCO - AV. SOMATIVA 2025 (SAEPE),,,2025-12-11,2026-01-12,32.0,,,,green
2090,SC JOINVILLE - AV. SOMATIVA 2025 (BÚSSOLA),79371.0,76749.0,2025-12-05,2025-12-11,6.0,13228.0,79371.0,96.7,green
2091,PE RECIFE - 3ª AV. FORMATIVA 2025,,,2025-11-21,2025-11-24,3.0,,,,red
2093,BR MUNICÍPIOS - AV. SOMATIVA 2025,,,2025-12-08,2025-12-10,2.0,,,,red
2101,SC FLORIANÓPOLIS - 2ª AV. SOMATIVA 2025,28341.0,28069.0,2025-11-26,2025-11-27,1.0,28341.0,28341.0,99.04,green
2104,BR CAEd - PRÉ-TESTE 2025 - LOTE 04 (BANCO),,,2025-11-17,2025-11-17,1.0,,,,red
2111,RJ RIO DE JANEIRO (MUNICÍPIO) - 4ª AV. FORMATIVA 2025 (ADR 4),,,2025-11-29,2025-12-02,3.0,,,,red
2112,BA SALVADOR - AV. SOMATIVA 2025 (PROSA SAÍDA),230699.0,230270.0,2025-12-16,2026-01-06,21.0,10986.0,230699.0,99.81,green
2116,RS PORTO ALEGRE - AV. SOMATIVA 2025,82165.0,81857.0,2025-12-29,2026-01-09,11.0,7470.0,82165.0,99.63,green
2117,PR PARANÁ - 2ª AV. SOMATIVA 2025 (PARANÁ MAIS),1877411.0,1582946.0,2025-12-26,2026-01-08,13.0,144416.0,1877411.0,84.32,red
2120,MS MATO GROSSO DO SUL - AV. SOMATIVA EF EM 2025 (SAEMS),662066.0,617031.0,2025-12-20,2026-01-05,16.0,41379.0,662066.0,93.2,green
2121,RO RONDÔNIA - AV. SOMATIVA 2025 (SAERO),343710.0,340557.0,2025-12-30,2026-01-13,14.0,24551.0,343710.0,99.08,green
2126,MA MARANHÃO - AV. SOMATIVA EF EM 2025 (SEAMA),992919.0,987752.0,2026-01-07,2026-01-14,7.0,141846.0,992919.0,99.48,green
2130,MT MATO GROSSO - AV. SOMATIVA EF 2025 (AVALIA MT ALFA),394206.0,384780.0,2025-12-04,2026-01-12,39.0,10108.0,394206.0,97.61,green
2131,PI PIAUÍ - AV. SOMATIVA EF 2025 (SAEPI ALFA),181095.0,179664.0,2026-01-09,2026-01-14,5.0,36219.0,181095.0,99.21,green
2132,PI PIAUÍ - AV. SOMATIVA 2025 EF EM (SAEPI),787118.0,785238.0,2025-11-05,2025-11-12,7.0,112445.0,787118.0,99.76,green
2140,AP AMAPÁ - AV. SOMATIVA 2025 (SISPAEAP),103149.0,101976.0,2025-12-22,2026-01-12,21.0,4912.0,103149.0,98.86,green
2144,RN RIO GRANDE DO NORTE - AV. SOMATIVA EF EM 2025 (SIMAIS),103003.0,101521.0,2025-12-05,2026-01-08,34.0,3030.0,103003.0,98.56,green
2145,RN RIO GRANDE DO NORTE - AV. SOMATIVA EF 2025 (SIMAIS ALFA),240547.0,239692.0,2025-12-05,2025-12-09,4.0,60137.0,240547.0,99.64,green
2158,BR UFJF - PISM 2026,,,2025-12-10,2025-12-11,1.0,,,,green
2182,DF DISTRITO FEDERAL - AV. SOMATIVA 2025 (PROVADF),317671.0,297418.0,2025-12-18,2026-01-15,28.0,11345.0,317671.0,93.62,green
